id;Solution type (ms);Transformation time (ms);Solver time (ms);KoodkodToCNFTransformationTime;save
Metamodel1;ModelResultImpl;4380;11995;228;saved
Metamodel2;ModelResultImpl;1065;6086;57;saved
Metamodel3;ModelResultImpl;435;6175;41;saved
Metamodel4;ModelResultImpl;419;6346;36;saved
Metamodel5;ModelResultImpl;368;5796;32;saved
Metamodel6;ModelResultImpl;362;7047;28;saved
Metamodel7;ModelResultImpl;449;6920;28;saved
Metamodel8;ModelResultImpl;419;6351;41;saved
Metamodel9;ModelResultImpl;507;6914;24;saved
Metamodel10;ModelResultImpl;406;6326;32;saved
Metamodel11;ModelResultImpl;415;8035;43;saved
Metamodel12;ModelResultImpl;335;7019;21;saved
Metamodel13;ModelResultImpl;599;7544;32;saved
Metamodel14;ModelResultImpl;302;6141;20;saved
Metamodel15;ModelResultImpl;874;6638;17;saved
Metamodel16;ModelResultImpl;265;7185;14;saved
Metamodel17;ModelResultImpl;328;6512;15;saved
Metamodel18;ModelResultImpl;322;6213;14;saved
Metamodel19;ModelResultImpl;362;6290;20;saved
Metamodel20;ModelResultImpl;245;6026;16;saved
Metamodel21;ModelResultImpl;280;6078;13;saved
Metamodel22;ModelResultImpl;264;6124;14;saved
Metamodel23;ModelResultImpl;265;6158;20;saved
Metamodel24;ModelResultImpl;366;6806;17;saved
Metamodel25;ModelResultImpl;270;6103;12;saved
Metamodel26;ModelResultImpl;279;6226;13;saved
Metamodel27;ModelResultImpl;399;6649;15;saved
Metamodel28;ModelResultImpl;336;6714;45;saved
Metamodel29;ModelResultImpl;336;6503;15;saved
Metamodel30;ModelResultImpl;247;6059;13;saved
Metamodel31;ModelResultImpl;360;6253;17;saved
Metamodel32;ModelResultImpl;241;6113;12;saved
Metamodel33;ModelResultImpl;285;5999;20;saved
Metamodel34;ModelResultImpl;414;6750;21;saved
Metamodel35;ModelResultImpl;269;6602;14;saved
Metamodel36;ModelResultImpl;351;6243;14;saved
Metamodel37;ModelResultImpl;241;6118;13;saved
Metamodel38;ModelResultImpl;260;6164;14;saved
Metamodel39;ModelResultImpl;477;8030;13;saved
Metamodel40;ModelResultImpl;258;6545;15;saved
Metamodel41;ModelResultImpl;276;6410;14;saved
Metamodel42;ModelResultImpl;338;5970;17;saved
Metamodel43;ModelResultImpl;427;7422;22;saved
Metamodel44;ModelResultImpl;274;6239;13;saved
Metamodel45;ModelResultImpl;399;6439;20;saved
Metamodel46;ModelResultImpl;395;7086;40;saved
Metamodel47;ModelResultImpl;252;6066;12;saved
Metamodel48;ModelResultImpl;239;6721;13;saved
Metamodel49;ModelResultImpl;338;6144;17;saved
Metamodel50;ModelResultImpl;364;7533;13;saved
Metamodel51;ModelResultImpl;261;7608;12;saved
Metamodel52;ModelResultImpl;554;7558;62;saved
Metamodel53;ModelResultImpl;305;6363;12;saved
Metamodel54;ModelResultImpl;246;7275;13;saved
Metamodel55;ModelResultImpl;319;6920;15;saved
Metamodel56;ModelResultImpl;270;6297;12;saved
Metamodel57;ModelResultImpl;251;6062;12;saved
Metamodel58;ModelResultImpl;371;7600;15;saved
Metamodel59;ModelResultImpl;412;7191;13;saved
Metamodel60;ModelResultImpl;251;8959;12;saved
Metamodel61;ModelResultImpl;310;6165;13;saved
Metamodel62;ModelResultImpl;373;7145;13;saved
Metamodel63;ModelResultImpl;237;8066;12;saved
Metamodel64;ModelResultImpl;284;6130;16;saved
Metamodel65;ModelResultImpl;438;7689;13;saved
Metamodel66;ModelResultImpl;246;6012;12;saved
Metamodel67;ModelResultImpl;237;5926;13;saved
Metamodel68;ModelResultImpl;402;6193;21;saved
Metamodel69;ModelResultImpl;265;6356;16;saved
Metamodel70;ModelResultImpl;240;6097;11;saved
Metamodel71;ModelResultImpl;233;5982;12;saved
Metamodel72;ModelResultImpl;241;6283;12;saved
Metamodel73;ModelResultImpl;262;5968;14;saved
Metamodel74;ModelResultImpl;249;5879;12;saved
Metamodel75;ModelResultImpl;255;5913;12;saved
Metamodel76;ModelResultImpl;249;6054;11;saved
Metamodel77;ModelResultImpl;322;6345;12;saved
Metamodel78;ModelResultImpl;290;5843;11;saved
Metamodel79;ModelResultImpl;249;5876;11;saved
Metamodel80;ModelResultImpl;241;5929;11;saved
Metamodel81;ModelResultImpl;235;5925;11;saved
Metamodel82;ModelResultImpl;248;6040;11;saved
Metamodel83;ModelResultImpl;242;5948;11;saved
Metamodel84;ModelResultImpl;232;6041;12;saved
Metamodel85;ModelResultImpl;324;5961;11;saved
Metamodel86;ModelResultImpl;268;6069;21;saved
Metamodel87;ModelResultImpl;258;6017;12;saved
Metamodel88;ModelResultImpl;258;5987;17;saved
Metamodel89;ModelResultImpl;243;5920;11;saved
Metamodel90;ModelResultImpl;316;5937;13;saved
Metamodel91;ModelResultImpl;384;5987;18;saved
Metamodel92;ModelResultImpl;269;6234;14;saved
Metamodel93;ModelResultImpl;233;5945;11;saved
Metamodel94;ModelResultImpl;282;5944;14;saved
Metamodel95;ModelResultImpl;242;6245;13;saved
Metamodel96;ModelResultImpl;243;6405;11;saved
Metamodel97;ModelResultImpl;236;7629;23;saved
Metamodel98;ModelResultImpl;346;6073;14;saved
Metamodel99;ModelResultImpl;327;5947;12;saved
Metamodel100;ModelResultImpl;253;6186;11;saved

